destination_id,city,country,continent,avg_temperature,budget_per_day_usd,beach,mountain,culture,adventure,nightlife,shopping,nature,historical,family_friendly,romantic,safety_score,english_spoken,visa_required,climate_type,best_season_start,best_season_end,popularity_score,average_rating,number_of_reviews,cost_level,tourist_density,created_at,cluster
21,Édimbourg,Écosse,Europe,21.3,6450.61,0.36,0.5,0.92,0.55,0.9,0.82,0.47,0.63,0.55,0.68,9.1,0.66,0,Continental,8,11,8.6,3.9,2801,Luxury,High,2026-01-27 15:06:47,2
22,Copenhague,Danemark,Europe,20.5,569.19,0.12,0.69,0.85,0.06,0.41,0.68,0.42,0.6,0.65,0.84,8.3,0.79,1,Méditerranéen,1,6,6.5,4.1,3482,Low,Medium,2026-01-27 15:06:47,3
23,Stockholm,Suède,Europe,14.8,2871.67,0.01,0.34,0.84,0.4,0.17,0.63,0.13,0.81,0.42,0.54,8.3,0.32,1,Tempéré,8,12,5.3,4.1,1783,High,Very High,2026-01-27 15:06:47,3
24,Oslo,Norvège,Europe,12.6,5113.03,0.48,0.42,0.92,0.47,0.75,0.34,0.95,0.61,0.44,0.87,6.2,0.32,0,Tempéré,1,5,6.2,4.2,987,Luxury,Medium,2026-01-27 15:06:47,2
25,Helsinki,Finlande,Europe,14.5,3533.8,0.08,0.61,0.87,0.11,0.82,0.98,0.11,0.51,0.59,0.71,9.8,0.58,0,Tropical,10,2,5.5,4.7,4968,High,Low,2026-01-27 15:06:47,2
26,Reykjavik,Islande,Europe,19.1,673.6,0.21,0.37,0.75,0.34,0.85,0.88,0.11,0.98,0.78,0.8,8.8,0.6,1,Désertique,9,3,7.3,4.7,4903,Low,High,2026-01-27 15:06:47,2
27,Zurich,Suisse,Europe,12.5,1830.73,0.04,0.88,0.62,0.46,0.61,0.57,0.03,0.93,0.51,0.43,9.2,0.54,1,Désertique,1,5,5.4,4.6,4052,Medium,Medium,2026-01-27 15:06:47,2
28,Marrakech,Maroc,Afrique,31.0,5792.7,0.01,0.12,0.5,0.24,0.66,0.56,0.55,0.37,1.0,0.63,7.4,0.62,1,Continental,4,7,8.6,4.0,4439,Luxury,Medium,2026-01-27 15:06:47,0
29,Le Caire,Égypte,Afrique,24.5,5106.0,0.29,0.3,0.6,0.98,0.83,0.51,0.36,0.35,0.82,0.38,6.2,0.34,1,Océanique,3,9,5.5,3.5,2379,Luxury,Very High,2026-01-27 15:06:47,0
30,Cape Town,Afrique du Sud,Afrique,28.2,2368.73,0.03,0.38,0.54,0.82,0.4,0.35,0.63,0.23,0.49,0.64,7.2,1.0,0,Désertique,7,11,8.9,4.1,3676,Medium,High,2026-01-27 15:06:47,0
31,Nairobi,Kenya,Afrique,33.2,5221.52,0.31,0.24,0.67,0.95,0.21,0.45,0.66,0.28,0.5,0.35,6.0,0.62,1,Continental,1,5,6.4,3.9,3769,Luxury,Low,2026-01-27 15:06:47,0
32,Casablanca,Maroc,Afrique,30.9,3575.66,0.31,0.26,0.77,0.43,0.54,0.75,0.91,0.61,0.44,0.4,7.2,0.82,1,Méditerranéen,2,8,8.4,4.5,2280,High,Very High,2026-01-27 15:06:47,0
33,Tunis,Tunisie,Afrique,27.7,944.71,0.37,0.24,0.31,0.23,0.67,0.9,0.59,0.21,0.86,0.79,8.3,0.83,0,Méditerranéen,9,3,9.6,3.8,4845,Low,Very High,2026-01-27 15:06:47,1
34,Rio de Janeiro,Brésil,Amérique du Sud,26.3,7876.22,0.47,0.41,0.46,0.1,0.16,0.59,0.5,0.53,0.64,0.76,6.1,0.36,1,Continental,2,8,9.3,4.7,59,Luxury,Very High,2026-01-27 15:06:47,0
35,Buenos Aires,Argentine,Amérique du Sud,24.1,1518.44,0.62,0.5,0.52,0.05,0.27,0.39,0.29,0.64,0.69,0.32,8.5,0.86,0,Continental,9,12,7.8,3.6,979,Medium,Very High,2026-01-27 15:06:47,4
36,Lima,Pérou,Amérique du Sud,29.5,1498.38,0.72,0.51,0.44,0.83,0.98,0.47,0.55,0.39,0.95,0.6,9.5,0.9,1,Subtropical,7,12,9.7,4.3,71,Medium,High,2026-01-27 15:06:47,4
37,Mexico City,Mexique,Amérique du Nord,23.1,7461.04,0.22,0.19,0.47,0.76,0.38,0.95,0.87,0.69,0.54,0.53,9.4,0.59,1,Océanique,8,2,6.9,4.5,1296,Luxury,Very High,2026-01-27 15:06:47,1
38,Cancún,Mexique,Amérique du Nord,27.4,1502.29,0.3,0.35,0.74,0.44,0.53,0.62,0.72,0.4,0.79,0.39,7.9,0.98,1,Désertique,12,6,8.2,4.8,4421,Medium,Very High,2026-01-27 15:06:47,0
39,Bogotá,Colombie,Amérique du Sud,29.5,7489.53,0.04,0.07,0.62,0.92,1.0,0.82,0.43,0.25,0.78,0.82,7.8,0.79,0,Tropical,6,9,6.5,4.1,1242,Luxury,Medium,2026-01-27 15:06:47,1
40,Santiago,Chili,Amérique du Sud,25.3,1169.98,0.08,0.87,0.61,0.24,0.91,0.4,0.46,0.33,0.55,0.31,9.2,0.93,0,Tropical,8,1,9.9,3.9,3525,Medium,High,2026-01-27 15:06:47,0
41,Quito,Équateur,Amérique du Sud,24.6,2398.43,0.38,0.48,0.42,0.57,0.57,0.99,0.3,0.69,0.79,0.46,8.3,0.78,0,Désertique,12,6,9.2,4.9,1935,Medium,High,2026-01-27 15:06:47,1
42,La Havane,Cuba,Amérique du Nord,13.9,1620.89,0.34,0.29,0.63,0.84,0.63,0.93,0.65,0.35,0.66,0.65,8.9,0.36,1,Continental,12,6,5.9,3.7,4468,Medium,High,2026-01-27 15:06:47,1
43,San José,Costa Rica,Amérique du Nord,19.6,3660.95,0.13,0.33,0.54,0.81,0.75,0.54,0.12,0.68,0.48,0.88,9.4,0.81,1,Subtropical,9,2,5.5,4.1,2216,High,Low,2026-01-27 15:06:47,2
44,Panama City,Panama,Amérique du Nord,18.2,3169.12,0.41,0.38,0.35,0.23,0.03,0.92,0.56,0.66,0.53,0.34,9.3,0.94,1,Océanique,7,10,5.7,4.9,2543,High,Very High,2026-01-27 15:06:47,1
45,Los Angeles,États-Unis,Amérique du Nord,12.1,1887.26,0.07,0.18,0.64,0.74,0.95,0.59,0.74,0.28,0.65,0.36,8.0,0.59,1,Tropical,12,5,6.1,4.2,1984,Medium,High,2026-01-27 15:06:47,0
46,Miami,États-Unis,Amérique du Nord,11.8,3088.93,0.49,0.14,0.5,0.19,0.12,0.89,0.45,0.53,0.79,0.66,6.1,0.85,0,Tempéré,10,2,5.3,4.6,1747,High,Medium,2026-01-27 15:06:47,3
47,Las Vegas,États-Unis,Amérique du Nord,24.6,1328.56,0.07,0.36,0.3,0.86,0.14,0.39,0.25,0.29,0.8,0.32,6.1,0.85,0,Désertique,6,9,5.9,3.6,3498,Medium,Low,2026-01-27 15:06:47,0
48,San Francisco,États-Unis,Amérique du Nord,23.4,5793.1,0.18,0.24,0.53,0.22,0.62,0.81,0.91,0.53,0.58,0.69,6.1,1.0,1,Méditerranéen,11,2,7.5,4.9,652,Luxury,Low,2026-01-27 15:06:47,0
49,Seattle,États-Unis,Amérique du Nord,15.8,1065.68,0.14,0.25,0.57,0.33,0.99,0.67,0.45,0.5,0.46,0.72,9.4,0.76,0,Méditerranéen,8,12,7.1,4.7,3316,Medium,Very High,2026-01-27 15:06:47,2
50,Chicago,États-Unis,Amérique du Nord,23.1,2853.53,0.33,0.15,0.38,0.92,0.07,0.88,0.09,0.25,0.84,0.79,8.2,0.71,1,Océanique,2,8,6.8,4.5,3514,High,Low,2026-01-27 15:06:47,1
51,Boston,États-Unis,Amérique du Nord,27.4,2703.29,0.29,0.09,0.63,0.22,0.11,0.89,0.37,0.58,0.74,0.78,9.4,0.98,0,Désertique,11,4,5.1,3.9,2581,High,High,2026-01-27 15:06:47,1
52,Washington DC,États-Unis,Amérique du Nord,16.3,1869.86,0.28,0.16,0.37,0.63,0.03,0.82,0.22,0.41,0.6,0.52,8.9,0.84,0,Tropical,3,7,8.8,3.6,718,Medium,High,2026-01-27 15:06:47,1
53,Vancouver,Canada,Amérique du Nord,18.0,5942.65,0.22,0.11,0.68,0.11,0.43,0.5,0.68,0.44,0.8,0.33,7.6,0.72,0,Tempéré,5,9,8.8,4.6,2421,Luxury,High,2026-01-27 15:06:47,0
54,Toronto,Canada,Amérique du Nord,12.2,6988.06,0.09,0.15,0.65,0.5,0.83,0.86,0.07,0.63,0.43,0.31,9.7,0.9,1,Désertique,7,1,6.4,4.1,2710,Luxury,Medium,2026-01-27 15:06:47,1
55,Montréal,Canada,Amérique du Nord,24.4,7328.1,0.46,0.04,0.72,0.24,0.59,0.67,0.4,0.36,0.6,0.5,6.7,0.66,0,Désertique,9,1,9.5,4.0,1259,Luxury,Medium,2026-01-27 15:06:47,0
56,Pékin,Chine,Asie,19.4,2394.54,0.6,0.76,0.63,0.18,0.77,0.65,0.75,0.88,0.67,0.85,8.3,0.74,1,Subtropical,11,4,5.8,3.6,3672,Medium,High,2026-01-27 15:06:47,2
57,Shanghai,Chine,Asie,29.1,675.97,0.07,0.46,0.32,0.37,0.29,0.75,0.98,0.55,0.76,0.53,8.3,0.97,0,Méditerranéen,10,2,6.6,4.2,1285,Low,Low,2026-01-27 15:06:47,0
58,Hong Kong,Hong Kong,Asie,24.3,3964.77,0.08,0.65,0.32,0.71,0.99,0.67,0.61,0.68,0.95,0.53,9.1,0.78,0,Subtropical,11,4,5.3,3.6,3216,High,High,2026-01-27 15:06:47,2
59,Séoul,Corée du Sud,Asie,21.5,1333.36,0.58,0.14,0.47,0.97,0.7,0.57,0.6,0.97,0.59,0.53,9.2,0.87,0,Océanique,11,5,7.5,3.5,2580,Medium,Medium,2026-01-27 15:06:47,2
60,Hanoi,Vietnam,Asie,31.3,3895.34,0.49,0.23,0.37,0.08,0.84,0.37,0.77,0.92,0.93,0.32,7.3,0.84,0,Désertique,7,11,5.8,4.7,1406,High,Very High,2026-01-27 15:06:47,0
61,Ho Chi Minh,Vietnam,Asie,18.6,3352.73,0.24,0.44,0.44,0.75,0.45,0.67,0.31,0.9,0.68,0.8,7.5,0.96,1,Méditerranéen,5,11,7.5,4.1,1377,High,Medium,2026-01-27 15:06:47,3
62,Kuala Lumpur,Malaisie,Asie,29.2,1873.0,0.05,0.48,0.49,0.93,0.71,0.66,0.12,0.54,0.5,0.57,8.1,0.88,0,Tempéré,8,1,9.7,4.1,3297,Medium,High,2026-01-27 15:06:47,1
63,Jakarta,Indonésie,Asie,21.3,687.46,0.03,0.93,0.72,0.65,0.79,0.4,0.29,0.91,0.82,0.38,8.8,0.61,0,Tropical,1,6,6.1,3.7,4373,Low,Very High,2026-01-27 15:06:47,2
64,Manille,Philippines,Asie,19.6,2475.28,0.12,0.24,0.62,0.62,0.06,0.89,0.5,0.77,0.78,0.65,8.9,0.5,0,Désertique,6,10,7.9,3.8,751,Medium,High,2026-01-27 15:06:47,3
65,Mumbai,Inde,Asie,18.9,695.23,0.47,0.64,0.79,0.25,0.02,0.85,0.34,0.87,0.78,0.76,8.9,0.53,0,Continental,9,2,9.1,3.8,3856,Low,Very High,2026-01-27 15:06:47,3
66,Delhi,Inde,Asie,26.8,1063.1,0.78,0.46,0.45,0.04,0.2,0.33,0.93,0.76,0.99,0.63,7.0,0.83,0,Continental,6,9,9.3,4.0,1069,Medium,High,2026-01-27 15:06:47,4
67,Bangalore,Inde,Asie,24.1,6973.23,0.89,0.39,0.79,0.5,0.5,0.95,0.52,0.9,0.84,0.35,8.4,0.88,1,Continental,2,5,6.6,3.9,3702,Luxury,Very High,2026-01-27 15:06:47,4
68,Dubaï,Émirats Arabes Unis,Asie,20.3,5406.19,0.04,0.87,0.48,1.0,0.27,0.99,0.95,0.54,0.78,0.52,9.2,0.78,0,Tempéré,10,4,5.2,3.6,3050,Luxury,High,2026-01-27 15:06:47,1
69,Doha,Qatar,Asie,23.4,802.55,0.68,0.95,0.49,0.76,0.57,0.67,0.4,0.82,0.55,0.37,8.9,0.65,1,Désertique,2,7,8.9,4.6,1807,Low,High,2026-01-27 15:06:47,4
70,Abu Dhabi,Émirats Arabes Unis,Asie,27.7,4800.71,0.14,0.07,0.39,0.71,1.0,0.87,0.97,0.99,0.8,0.73,8.2,0.5,1,Subtropical,3,7,9.0,4.3,1044,High,Medium,2026-01-27 15:06:47,2
71,Tel Aviv,Israël,Asie,29.1,1790.37,0.03,0.55,0.48,0.8,0.55,0.73,0.09,0.65,1.0,0.73,8.1,0.84,0,Tempéré,6,9,7.2,4.5,2872,Medium,Medium,2026-01-27 15:06:47,1
72,Jérusalem,Israël,Asie,30.3,1767.78,0.13,0.5,0.73,0.83,0.52,0.51,0.16,0.97,0.54,0.87,8.1,0.5,0,Continental,4,9,5.6,4.0,4420,Medium,Low,2026-01-27 15:06:47,2
73,Melbourne,Australie,Océanie,22.0,1591.81,0.58,0.07,0.61,0.9,0.34,0.95,0.04,0.63,0.45,0.87,9.1,0.49,0,Subtropical,10,4,8.1,3.5,4519,Medium,High,2026-01-27 15:06:47,1
74,Auckland,Nouvelle-Zélande,Océanie,23.1,2965.89,0.8,0.27,0.45,0.07,0.06,0.61,0.48,0.3,0.76,0.49,8.9,0.81,1,Méditerranéen,3,8,7.6,3.7,2030,High,Very High,2026-01-27 15:06:47,4
75,Queenstown,Nouvelle-Zélande,Océanie,19.0,4991.68,0.1,0.12,0.49,0.62,0.25,0.91,0.16,0.36,0.75,0.49,9.1,0.65,1,Méditerranéen,5,11,5.1,4.9,4190,High,Very High,2026-01-27 15:06:47,1
76,Fiji,Fidji,Océanie,25.7,1583.34,0.05,0.11,0.6,0.84,0.67,0.5,0.01,0.25,0.48,0.46,7.5,0.58,0,Méditerranéen,1,5,6.8,3.9,3214,Medium,Very High,2026-01-27 15:06:47,1
77,Tahiti,Polynésie Française,Océanie,24.1,3650.62,0.62,0.24,0.36,0.1,0.37,0.99,0.56,0.38,0.49,0.66,7.6,0.33,0,Tempéré,12,5,9.0,4.3,1270,High,Medium,2026-01-27 15:06:47,1
78,Venise,Italie,Europe,12.6,2325.0,0.5,0.74,0.65,0.34,0.83,0.67,0.71,0.65,0.89,0.52,8.7,0.99,1,Subtropical,12,3,8.0,3.9,4788,Medium,Medium,2026-01-27 15:06:47,2
79,Florence,Italie,Europe,18.1,4682.05,0.31,0.62,0.92,0.15,0.68,0.32,0.95,0.55,0.41,0.49,6.6,0.78,1,Désertique,10,4,9.4,4.6,560,High,Medium,2026-01-27 15:06:47,0
80,Milan,Italie,Europe,15.3,3996.25,0.24,0.38,0.98,0.46,0.53,0.68,0.68,0.93,0.81,0.78,7.1,0.64,0,Continental,9,2,6.1,5.0,2488,High,High,2026-01-27 15:06:47,3
81,Naples,Italie,Europe,17.9,5268.16,0.17,0.93,0.9,0.27,0.12,0.77,0.38,0.99,0.89,0.87,9.2,0.5,1,Océanique,2,7,9.6,4.5,3974,Luxury,Medium,2026-01-27 15:06:47,3
82,Santorini,Grèce,Europe,10.8,3866.05,0.35,0.14,0.81,0.59,0.24,0.77,0.53,0.82,0.43,0.55,8.9,0.37,0,Tropical,9,1,7.0,4.9,3946,High,Very High,2026-01-27 15:06:47,3
83,Mykonos,Grèce,Europe,17.1,2642.34,0.32,0.91,0.54,0.57,0.54,0.81,0.94,0.96,0.51,0.83,6.7,0.94,1,Subtropical,8,12,9.7,4.9,2421,High,Low,2026-01-27 15:06:47,2
84,Dubrovnik,Croatie,Europe,8.1,964.23,0.17,0.45,0.82,0.52,0.89,0.39,0.5,0.64,0.89,0.5,8.9,0.75,0,Tropical,12,5,9.0,4.4,1632,Low,Medium,2026-01-27 15:06:47,2
85,Split,Croatie,Europe,16.6,7307.96,0.26,0.09,0.83,0.18,0.14,0.53,0.25,0.63,0.54,0.75,9.8,0.51,0,Continental,11,4,8.5,3.6,1018,Luxury,Very High,2026-01-27 15:06:47,1
86,Porto,Portugal,Europe,12.3,6744.29,0.46,0.89,0.88,0.69,0.64,0.96,0.37,0.61,0.97,0.59,7.8,0.99,1,Méditerranéen,12,6,8.8,4.7,1839,Luxury,Medium,2026-01-27 15:06:47,3
87,Séville,Espagne,Europe,17.5,762.75,0.26,0.36,0.96,0.11,0.83,0.93,0.2,0.77,0.5,0.81,7.8,0.78,1,Tropical,9,3,9.0,4.2,4254,Low,Very High,2026-01-27 15:06:47,2
88,Madrid,Espagne,Europe,14.4,779.4,0.34,0.31,0.51,0.25,0.0,0.45,0.07,0.71,0.82,0.62,6.2,0.93,1,Tropical,5,11,5.9,3.7,3493,Low,High,2026-01-27 15:06:47,3
89,Valence,Espagne,Europe,21.9,5794.15,0.46,0.38,0.54,0.96,0.87,0.39,0.86,0.56,1.0,0.54,6.5,0.99,0,Subtropical,1,6,7.3,4.6,3524,Luxury,Very High,2026-01-27 15:06:47,0
90,Bruges,Belgique,Europe,19.5,1460.63,0.08,0.19,0.94,0.77,0.03,0.76,0.61,0.97,0.93,0.44,6.3,0.72,1,Désertique,11,2,6.2,3.6,3645,Medium,Medium,2026-01-27 15:06:47,3
91,Genève,Suisse,Europe,15.6,570.07,0.5,0.23,0.96,0.58,0.58,0.84,0.82,0.62,0.93,0.89,8.1,0.59,1,Tropical,9,1,8.1,4.1,4110,Low,Low,2026-01-27 15:06:47,3
92,Monaco,Monaco,Europe,21.6,7143.22,0.16,0.42,0.57,0.38,0.75,0.63,0.85,0.65,0.82,0.78,9.7,0.69,1,Désertique,9,1,6.9,3.9,2755,Luxury,Low,2026-01-27 15:06:47,2
93,Luxembourg,Luxembourg,Europe,20.9,2184.93,0.36,0.19,0.63,0.67,0.6,0.91,0.19,0.88,0.83,0.64,7.9,0.91,1,Continental,1,5,9.7,4.9,1011,Medium,Very High,2026-01-27 15:06:47,3
94,Malte,Malte,Europe,20.8,1396.63,0.12,0.32,0.64,0.47,0.65,0.52,0.36,0.94,0.68,0.78,8.9,0.83,1,Tempéré,6,11,7.1,4.3,1862,Medium,Medium,2026-01-27 15:06:47,2
95,Kyoto,Japon,Asie,18.2,5180.77,0.2,0.23,0.58,0.25,0.55,0.96,0.34,0.88,0.69,0.73,9.0,0.62,1,Tempéré,3,9,5.9,4.8,531,Luxury,Low,2026-01-27 15:06:47,1
96,Osaka,Japon,Asie,29.7,972.59,0.67,0.76,0.51,0.84,0.23,0.8,0.01,0.75,0.62,0.67,8.7,0.73,1,Océanique,8,11,5.0,4.3,147,Low,Low,2026-01-27 15:06:47,4
97,Phuket,Thaïlande,Asie,25.4,3071.48,0.29,0.5,0.65,0.43,0.94,0.43,0.92,0.76,0.54,0.67,7.0,0.55,1,Tropical,6,12,7.3,3.9,1900,High,High,2026-01-27 15:06:47,0
98,Chiang Mai,Thaïlande,Asie,27.6,826.87,0.86,0.76,0.35,0.38,0.55,0.34,0.01,0.59,0.7,0.56,9.1,0.7,0,Désertique,1,5,6.1,4.8,4693,Low,Very High,2026-01-27 15:06:47,4
99,Siem Reap,Cambodge,Asie,21.8,842.21,0.28,0.54,0.63,0.18,0.85,0.31,0.21,0.57,0.89,0.79,9.7,0.51,0,Désertique,7,12,6.9,4.6,692,Low,High,2026-01-27 15:06:47,2
100,Luang Prabang,Laos,Asie,18.8,4928.58,0.08,0.61,0.61,0.6,0.97,0.53,0.63,0.89,0.67,0.44,8.2,0.56,0,Océanique,10,4,5.4,4.4,2068,High,Low,2026-01-27 15:06:47,2
